Name	BD GDP CURN	REX GENERAL BOND - PRICE INDEX	BD CPI - NET RENTS NADJ	DAX 30 PERFORMANCE - PRICE INDEX
1990	NA	99,463	NA	1790,37
1991	1585,8	93,4995	NA	1398,23
1992	1702,06	96,3486	NA	1577,98
1993	1750,89	101,5441	NA	1545,05
1994	1829,55	109,3946	NA	2267,98
1995	1894,61	99,9058	76,7	2079,45
1996	1921,38	109,178	79,2	2253,88
1997	1961,15	110,3652	81,2	2888,69
1998	2014,42	111,1373	82,2	4249,69
1999	2059,48	118,148	82,9	5002,39
2000	2109,09	110,4291	83,9	6750,76
2001	2172,54	112,3489	84,9	6433,61
2002	2198,12	113,1253	86	5160,1
2003	2211,57	117,5609	86,9	2892,63
2004	2262,52	117,3562	87,7	3965,16
2005	2288,31	120,5117	88,5	4291,53
2006	2385,08	120,6604	89,5	5449,98
2007	2499,55	116,779	90,5	6596,92
2008	2546,49	114,8476	91,6	8067,32
2009	2445,73	121,6801	92,6	4810,2
2010	2564,4	123,6204	93,7	5957,43
2011	2693,56	124,8964	94,9	6989,74
2012	2745,31	131,3852	96	6075,52
2013	2811,35	135,1122	97,2	7612,39
2014	2927,43	132,1106	98,7	9552,16
2015	3030,07	139,6797	100	9805,55
2016	3134,1	139,5228	101,1	10743,01
2017	3244,99	142,5861	102,5	11598,33
2018	3344,37	140,5295	104,1	12917,64
2019	3435,21	141,8351	105,6	10558,96
